player_id,country_code,currency_code,signup_date,acquisition_channel
P-000001,DE,EUR,2024-08-04,creator_program
P-000002,JP,JPY,2026-08-14,organic
P-000003,JP,JPY,2025-08-29,organic
P-000004,CA,USD,2025-08-30,storefront_feature
P-000005,US,USD,2025-03-14,email
P-000006,ES,EUR,2025-10-12,creator_program
P-000007,FR,EUR,2024-08-27,email
P-000008,GB,GBP,2025-09-25,storefront_feature
P-000009,JP,JPY,2024-11-22,creator_program
P-000010,US,USD,2026-07-26,organic
P-000011,FR,EUR,2025-03-31,storefront_feature
P-000012,FR,EUR,2025-01-16,paid_social
P-000013,US,USD,2026-01-30,paid_social
P-000014,GB,GBP,2025-05-23,organic
P-000015,AR,BRL,2025-01-17,creator_program
P-000016,JP,JPY,2025-03-19,organic
P-000017,CA,USD,2025-09-19,storefront_feature
P-000018,US,USD,2024-09-15,storefront_feature
P-000019,AR,BRL,2025-12-11,organic
P-000020,US,USD,2026-05-18,creator_program
P-000021,ES,EUR,2026-06-22,storefront_feature
P-000022,ES,EUR,2025-07-28,email
P-000023,ES,EUR,2025-06-12,paid_social
P-000024,US,USD,2026-05-15,storefront_feature
P-000025,ES,EUR,2025-11-01,organic
P-000026,GB,GBP,2024-06-20,organic
P-000027,CA,USD,2024-10-07,creator_program
P-000028,US,USD,2024-11-29,organic
P-000029,CA,USD,2024-08-01,creator_program
P-000030,CA,USD,2024-09-17,organic
P-000031,US,USD,2025-01-18,storefront_feature
P-000032,GB,GBP,2026-03-17,storefront_feature
P-000033,GB,GBP,2025-02-05,storefront_feature
P-000034,CA,USD,2026-09-25,organic
P-000035,CA,USD,2026-05-04,creator_program
P-000036,GB,GBP,2024-10-31,storefront_feature
P-000037,JP,JPY,2025-02-07,storefront_feature
P-000038,GB,GBP,2026-01-24,paid_social
P-000039,BR,BRL,2024-12-25,email
P-000040,FR,EUR,2025-12-06,organic
P-000041,US,USD,2025-07-20,organic
P-000042,US,USD,2026-06-03,organic
P-000043,US,USD,2026-09-21,paid_social
P-000044,CA,USD,2026-03-25,paid_social
P-000045,AR,BRL,2026-03-26,creator_program
P-000046,BR,BRL,2026-08-20,storefront_feature
P-000047,AR,BRL,2025-10-13,creator_program
P-000048,DE,EUR,2024-12-23,email
P-000049,JP,JPY,2025-11-02,paid_social
P-000050,CA,USD,2025-10-03,organic
P-000051,CA,USD,2025-05-06,storefront_feature
P-000052,AR,BRL,2025-10-10,creator_program
P-000053,US,USD,2026-09-01,storefront_feature
P-000054,ES,EUR,2024-10-25,organic
P-000055,BR,BRL,2025-02-08,creator_program
P-000056,CA,USD,2025-10-25,organic
P-000057,JP,JPY,2025-08-10,storefront_feature
P-000058,US,USD,2025-09-10,email
P-000059,CA,USD,2025-12-19,organic
P-000060,CA,USD,2024-12-10,creator_program
P-000061,GB,GBP,2026-09-08,creator_program
P-000062,US,USD,2025-07-19,organic
P-000063,CA,USD,2025-07-10,creator_program
P-000064,US,USD,2026-01-23,organic
P-000065,JP,JPY,2024-12-27,email
P-000066,ES,EUR,2025-10-21,paid_social
P-000067,BR,BRL,2026-05-26,storefront_feature
P-000068,US,USD,2024-06-25,paid_social
P-000069,FR,EUR,2024-08-28,storefront_feature
P-000070,US,USD,2025-07-04,paid_social
P-000071,BR,BRL,2026-08-30,email
P-000072,BR,BRL,2025-03-04,email
P-000073,CA,USD,2024-10-24,organic
P-000074,US,USD,2024-09-28,organic
P-000075,CA,USD,2025-10-23,storefront_feature
P-000076,GB,GBP,2026-07-21,creator_program
P-000077,GB,GBP,2026-08-06,creator_program
P-000078,CA,USD,2024-08-15,creator_program
P-000079,BR,BRL,2026-03-13,email
P-000080,AR,BRL,2025-05-23,organic
P-000081,GB,GBP,2026-06-25,paid_social
P-000082,ES,EUR,2024-10-28,creator_program
P-000083,GB,GBP,2025-11-02,creator_program
P-000084,US,USD,2025-08-14,email
P-000085,GB,GBP,2024-09-08,organic
P-000086,GB,GBP,2026-07-01,email
P-000087,GB,GBP,2024-10-13,organic
P-000088,JP,JPY,2026-07-27,organic
P-000089,US,USD,2025-08-24,storefront_feature
P-000090,US,USD,2025-07-10,creator_program
P-000091,JP,JPY,2025-03-27,storefront_feature
P-000092,CA,USD,2024-12-29,creator_program
P-000093,US,USD,2024-12-25,paid_social
P-000094,US,USD,2025-12-04,paid_social
P-000095,JP,JPY,2026-05-17,creator_program
P-000096,JP,JPY,2026-01-29,paid_social
P-000097,US,USD,2026-01-18,organic
P-000098,US,USD,2025-11-18,organic
P-000099,BR,BRL,2025-07-25,paid_social
P-000100,CA,USD,2025-06-06,storefront_feature
P-000101,DE,EUR,2026-09-04,paid_social
P-000102,CA,USD,2026-05-31,storefront_feature
P-000103,CA,USD,2026-02-10,paid_social
P-000104,US,USD,2026-06-19,storefront_feature
P-000105,DE,EUR,2026-03-28,paid_social
P-000106,GB,GBP,2026-04-06,paid_social
P-000107,CA,USD,2025-06-10,creator_program
P-000108,CA,USD,2024-07-28,email
P-000109,ES,EUR,2026-08-20,storefront_feature
P-000110,US,USD,2025-12-29,storefront_feature
P-000111,JP,JPY,2026-08-05,storefront_feature
P-000112,AR,BRL,2026-02-08,storefront_feature
P-000113,CA,USD,2025-03-31,creator_program
P-000114,US,USD,2025-07-24,creator_program
P-000115,BR,BRL,2025-08-08,paid_social
P-000116,US,USD,2025-03-04,creator_program
P-000117,US,USD,2026-07-30,creator_program
P-000118,FR,EUR,2024-09-27,paid_social
P-000119,US,USD,2026-04-12,storefront_feature
P-000120,US,USD,2025-04-25,organic
P-000121,CA,USD,2025-04-30,storefront_feature
P-000122,FR,EUR,2025-01-25,organic
P-000123,FR,EUR,2025-12-21,storefront_feature
P-000124,CA,USD,2025-11-13,creator_program
P-000125,US,USD,2024-11-28,storefront_feature
P-000126,US,USD,2025-06-09,email
P-000127,US,USD,2024-07-01,organic
P-000128,DE,EUR,2024-07-11,email
P-000129,FR,EUR,2025-05-17,storefront_feature
P-000130,GB,GBP,2026-04-13,organic
P-000131,DE,EUR,2026-09-05,paid_social
P-000132,GB,GBP,2025-04-22,storefront_feature
P-000133,CA,USD,2025-11-05,storefront_feature
P-000134,BR,BRL,2024-08-22,email
P-000135,US,USD,2024-07-11,email
P-000136,CA,USD,2025-05-25,organic
P-000137,GB,GBP,2025-07-06,organic
P-000138,DE,EUR,2026-08-12,storefront_feature
P-000139,CA,USD,2025-04-26,creator_program
P-000140,CA,USD,2025-07-27,storefront_feature
P-000141,US,USD,2025-03-28,creator_program
P-000142,CA,USD,2025-08-01,storefront_feature
P-000143,FR,EUR,2025-07-28,creator_program
P-000144,JP,JPY,2025-03-15,email
P-000145,JP,JPY,2024-11-15,storefront_feature
P-000146,US,USD,2025-12-19,paid_social
P-000147,US,USD,2026-01-27,organic
P-000148,CA,USD,2025-06-13,email
P-000149,JP,JPY,2025-03-22,organic
P-000150,JP,JPY,2025-07-19,organic
P-000151,ES,EUR,2025-02-09,storefront_feature
P-000152,FR,EUR,2025-06-05,organic
P-000153,DE,EUR,2026-07-28,organic
P-000154,BR,BRL,2024-09-14,organic
P-000155,CA,USD,2025-03-31,paid_social
P-000156,GB,GBP,2024-12-24,creator_program
P-000157,ES,EUR,2024-07-07,storefront_feature
P-000158,US,USD,2026-05-24,paid_social
P-000159,CA,USD,2026-03-27,email
P-000160,CA,USD,2025-10-21,paid_social
P-000161,DE,EUR,2026-05-21,storefront_feature
P-000162,GB,GBP,2026-04-28,email
P-000163,GB,GBP,2025-12-03,email
P-000164,CA,USD,2026-05-27,storefront_feature
P-000165,US,USD,2026-01-15,paid_social
P-000166,CA,USD,2026-06-27,email
P-000167,AR,BRL,2024-08-16,paid_social
P-000168,AR,BRL,2025-10-14,paid_social
P-000169,AR,BRL,2025-10-07,storefront_feature
P-000170,CA,USD,2025-07-04,creator_program
P-000171,CA,USD,2025-07-28,storefront_feature
P-000172,CA,USD,2024-09-10,creator_program
P-000173,FR,EUR,2024-06-29,creator_program
P-000174,GB,GBP,2024-08-26,organic
P-000175,AR,BRL,2026-01-19,storefront_feature
P-000176,BR,BRL,2026-03-04,paid_social
P-000177,CA,USD,2025-03-03,creator_program
P-000178,DE,EUR,2026-05-10,email
P-000179,ES,EUR,2026-08-13,email
P-000180,AR,BRL,2026-04-09,storefront_feature
P-000181,JP,JPY,2026-03-31,email
P-000182,US,USD,2025-09-14,organic
P-000183,BR,BRL,2025-10-27,organic
P-000184,JP,JPY,2026-03-04,storefront_feature
P-000185,JP,JPY,2024-06-10,paid_social
P-000186,CA,USD,2025-06-17,storefront_feature
P-000187,CA,USD,2025-06-08,creator_program
P-000188,CA,USD,2026-06-28,storefront_feature
P-000189,US,USD,2024-09-11,paid_social
P-000190,CA,USD,2026-09-05,organic
P-000191,JP,JPY,2026-04-30,creator_program
P-000192,ES,EUR,2026-03-17,organic
P-000193,DE,EUR,2024-07-12,creator_program
P-000194,DE,EUR,2026-06-04,organic
P-000195,US,USD,2024-09-13,creator_program
P-000196,US,USD,2024-08-20,organic
P-000197,CA,USD,2026-05-12,organic
P-000198,CA,USD,2026-05-15,email
P-000199,CA,USD,2024-07-31,email
