order_id,order_date,settlement_date,player_id,title_id,platform_code,order_status,gross_usd,platform_fee_usd,net_usd
ORD-0000001,2024-10-02,2024-11-01,P-005533,T-04,STEAM,completed,14.9583,4.4875,10.4708
ORD-0000002,2024-10-02,2024-11-16,P-016448,T-04,PSN,refunded,9.99,2.997,6.993
ORD-0000003,2024-10-02,2024-11-01,P-023570,T-04,STEAM,completed,4.9916,1.4975,3.4942
ORD-0000004,2024-10-02,2024-11-16,P-013085,T-04,PSN,completed,29.9906,8.9972,20.9934
ORD-0000005,2024-10-02,2024-11-01,P-006463,T-04,EPIC,completed,39.9674,4.7961,35.1713
ORD-0000006,2024-10-02,2024-11-01,P-019093,T-04,STEAM,completed,29.99,8.997,20.993
ORD-0000007,2024-10-02,2024-11-01,P-013639,T-04,STEAM,completed,39.98,11.994,27.986
ORD-0000008,2024-10-02,2024-11-01,P-002263,T-04,STEAM,completed,29.9929,8.9979,20.995
ORD-0000009,2024-10-02,2024-11-16,P-022579,T-04,XBOX,completed,10.4977,3.1493,7.3484
ORD-0000010,2024-10-02,2024-11-01,P-032170,T-04,STEAM,completed,40.4883,12.1465,28.3418
ORD-0000011,2024-10-02,2024-11-16,P-032600,T-04,PSN,completed,29.9906,8.9972,20.9934
ORD-0000012,2024-10-02,2024-11-16,P-010633,T-04,XBOX,completed,40.4883,12.1465,28.3418
ORD-0000013,2024-10-02,2024-11-16,P-005358,T-04,XBOX,completed,40.4899,12.147,28.343
ORD-0000014,2024-10-02,2024-11-01,P-016503,T-04,STEAM,completed,19.9773,5.9932,13.9841
ORD-0000015,2024-10-02,2024-11-01,P-038378,T-04,EPIC,completed,10.4977,1.2597,9.238
ORD-0000016,2024-10-02,2024-12-01,P-042554,T-04,NSW,completed,59.9796,17.9939,41.9857
ORD-0000017,2024-10-02,2024-11-16,P-029118,T-04,PSN,completed,40.4929,12.1479,28.345
ORD-0000018,2024-10-02,2024-11-01,P-037596,T-04,STEAM,completed,20.4745,6.1424,14.3322
ORD-0000019,2024-10-02,2024-11-01,P-022192,T-04,STEAM,completed,9.981,2.9943,6.9867
ORD-0000020,2024-10-02,2024-11-16,P-039017,T-04,PSN,completed,4.9916,1.4975,3.4942
ORD-0000021,2024-10-02,2024-11-16,P-022325,T-04,PSN,completed,34.9803,10.4941,24.4862
ORD-0000022,2024-10-02,2024-11-01,P-010122,T-04,STEAM,completed,4.9884,1.4965,3.4919
ORD-0000023,2024-10-02,2024-11-16,P-015285,T-04,PSN,completed,4.9884,1.4965,3.4919
ORD-0000024,2024-10-02,2024-11-01,P-003850,T-04,EPIC,completed,9.9868,1.1984,8.7884
ORD-0000025,2024-10-03,2024-11-17,P-030011,T-04,XBOX,completed,10.5237,3.1571,7.3666
ORD-0000026,2024-10-03,2024-11-02,P-023197,T-04,EPIC,completed,40.02,4.8024,35.2176
ORD-0000027,2024-10-03,2024-11-02,P-040722,T-04,EPIC,completed,70.154,8.4185,61.7355
ORD-0000028,2024-10-03,2024-11-02,P-014481,T-04,STEAM,completed,30.0341,9.0102,21.0238
ORD-0000029,2024-10-03,2024-12-02,P-003475,T-04,NSW,completed,30.0675,9.0203,21.0473
ORD-0000030,2024-10-03,2024-11-17,P-012365,T-04,PSN,completed,9.99,2.997,6.993
