refund_id,order_id,refund_date,order_date,title_id,platform_code,player_id,refund_reason,refund_usd,platform_fee_credit_usd,net_refund_usd
RFD-000001,ORD-0000002,2024-11-04,2024-10-02,T-04,PSN,P-016448,platform_policy,9.99,2.997,6.993
RFD-000002,ORD-0000023,2024-10-05,2024-10-02,T-04,PSN,P-015285,price_adjustment,2.4942,0.7483,1.7459
RFD-000003,ORD-0000033,2024-11-01,2024-10-03,T-04,PSN,P-030103,partial_goodwill,22.7683,6.8305,15.9378
RFD-000004,ORD-0000041,2024-10-11,2024-10-03,T-04,PSN,P-003405,price_adjustment,3.4704,1.0411,2.4293
RFD-000005,ORD-0000048,2024-10-17,2024-10-03,T-04,STEAM,P-042343,platform_policy,30.0301,9.009,21.021
RFD-000006,ORD-0000049,2024-10-08,2024-10-03,T-04,EPIC,P-001470,accidental_purchase,4.995,0.5994,4.3956
RFD-000007,ORD-0000052,2024-11-20,2024-10-03,T-04,STEAM,P-009691,player_request,9.99,2.997,6.993
RFD-000008,ORD-0000054,2024-10-07,2024-10-04,T-04,STEAM,P-034728,price_adjustment,9.9294,2.9788,6.9506
RFD-000009,ORD-0000083,2024-11-06,2024-10-04,T-04,STEAM,P-034750,accidental_purchase,29.9684,8.9905,20.9779
RFD-000010,ORD-0000110,2024-11-22,2024-10-05,T-04,EPIC,P-039346,accidental_purchase,34.9553,4.1946,30.7606
RFD-000011,ORD-0000126,2024-11-14,2024-10-05,T-04,STEAM,P-011298,partial_goodwill,9.9294,2.9788,6.9506
RFD-000012,ORD-0000130,2024-11-22,2024-10-05,T-04,PSN,P-033946,player_request,4.9758,1.4927,3.4831
RFD-000013,ORD-0000137,2024-12-15,2024-10-05,T-04,PSN,P-041219,platform_policy,40.1123,12.0337,28.0786
RFD-000014,ORD-0000152,2024-11-23,2024-10-06,T-04,STEAM,P-000824,accidental_purchase,20.9863,6.2959,14.6904
RFD-000015,ORD-0000181,2024-10-15,2024-10-07,T-04,NSW,P-000258,price_adjustment,2.6177,0.7853,1.8324
